id,api,source,category,method,path,auth,body,expected,expectedResult,auditStatus,auditReason,executionStatus,actualResult
FR03-AI-01,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""{{resetEmail}}""}",200,Six-digit OTP success schema,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-02,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""unknown.hw06@example.test""}",200,Generic response must not enumerate accounts,INCOMPLETE,AI oracle completed by human review,FAIL,HTTP 404; 2 failed assertions
FR03-AI-03,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,{},400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-04,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-05,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""   ""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-06,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""bad-email""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-07,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":null}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-08,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":12345}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-09,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":{""$ne"":null}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-10,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@x.com""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
